date,description,bank_category,value,type,jar
2026-08-01,CZYNSZ NAJMU MIESZKANIA,Mieszkanie,-2400.0,account,NEC
2026-08-03,BIEDRONKA ZAKUPY SPOZYWCZE,Spozywcze,-285.4,credit_card,NEC
2026-08-05,LIDL ZAKUPY SPOZYWCZE,Spozywcze,-198.75,account,NEC
2026-08-06,PGE OBROT - RACHUNEK ZA PRAD,Media,-210.0,account,NEC
2026-08-07,ORANGE POLSKA - INTERNET I TELEFON,Media,-95.0,account,NEC
2026-08-08,PZU ZYCIE - SKLADKA UBEZPIECZENIOWA,Ubezpieczenie,-120.0,account,NEC
2026-08-09,BOLT / UBER PRZEJAZD,Transport,-42.6,credit_card,NEC
2026-08-12,MPK BILET MIESIECZNY,Transport,-110.0,account,NEC
2026-08-04,PRZELEW NA KONTO MAKLERSKIE XTB,Inwestycje,-680.0,account,FFA
2026-08-11,PRZELEW - ETF AKUMULACYJNY IKE,Inwestycje,-50.0,account,FFA
2026-08-14,PRZELEW NA LOKATE - FUNDUSZ AWARYJNY,Oszczednosci,-450.0,account,LTSS
2026-08-16,RATA - NAPRAWA SAMOCHODU,Naprawy,-230.0,credit_card,LTSS
2026-08-13,UDEMY KURS ONLINE - PYTHON,Edukacja,-89.99,credit_card,EDU
2026-08-19,KSIEGARNIA - KSIAZKI ROZWOJOWE,Edukacja,-120.0,account,EDU
2026-08-17,RESTAURACJA KOLACJA ZE ZNAJOMYMI,Rozrywka,-180.0,credit_card,PLAY
2026-08-21,KINO HELIOS BILETY,Rozrywka,-75.0,cash,PLAY
2026-08-22,SPOTIFY PREMIUM SUBSKRYPCJA,Subskrypcje,-23.99,credit_card,PLAY
2026-08-20,DAROWIZNA - WOSP FUNDACJA,Darowizny,-100.0,account,GIVE
2026-08-24,PREZENT URODZINOWY DLA SIOSTRY,Prezenty,-80.0,cash,GIVE
